type_a,type_b,naive_log_odds_mean,corrected_log_odds_mean,corrected_log_odds_hdi_3,corrected_log_odds_hdi_97,corrected_p_positive,corrected_lift_mean,corrected_lift_hdi_3,corrected_lift_hdi_97,naive_mh_log_odds_mean,corrected_mh_log_odds_mean,corrected_mh_log_odds_hdi_3,corrected_mh_log_odds_hdi_97,corrected_mh_p_positive,credible,mh_credible
D.1,NAMA agreement,6.114957171406917,4.797166098974126,3.6887939333624176,5.852092606394417,1.0,1.0491185936959764,1.0415386270168168,1.0571980452482477,4.956410626414094,4.055632139467924,3.102683641520852,5.076481592358231,1.0,True,True
D.1,Testimonial medical letter (Medical & Health Documents),4.616815758593756,3.9411583733859303,3.1585425529860056,4.668270258977022,1.0,1.0470061810189093,1.0398862334590144,1.0549884665294595,3.944326440815661,3.4045882945018775,2.6693742372531744,4.143222991286137,1.0,True,True
D.1,D.2,5.288277217708157,4.0465846865557005,2.9251044674997266,4.968640796854288,1.0,1.0479468526806766,1.0402949808576223,1.0559840245451448,3.9163563863587743,3.3115291271569767,2.37743756325865,4.1143417496612855,1.0,True,True
D.1,Registration card,5.998396589314518,4.49389881125335,3.0384116191402963,6.232259945158588,1.0,1.0518926646362488,1.044058882234886,1.0603955600328516,4.281379587646257,3.303649888571667,1.859082790779405,5.317449954412961,1.0,True,True
Registration card,Report of selection and medical officers,4.136836317234615,3.766200708281138,2.986120079454263,4.227558431179333,1.0,1.2082499399112634,1.1788380863409182,1.232857127439238,3.102846240318706,3.0180189206731627,2.155404121050579,3.5804985113512746,1.0,True,True
D.1,Testimonial labour (Qualification & Employment Proof),4.694886782033142,3.8782434486177064,3.085581644064535,4.682906455692907,1.0,1.0467915111346628,1.039054652895053,1.0551934657421265,3.57080832485991,2.9438134302236785,2.2448305797153387,3.7820658584085334,1.0,True,True
Judicial and political background check,Report of selection and medical officers,3.527202207689872,3.190455553765025,2.349666623566013,3.6694067547050797,1.0,1.2213406977700758,1.1880357922779918,1.247772827963229,3.1708766058117415,2.8521076088604267,1.7313794945430263,3.506236554464514,1.0,True,True
Approval notice,Report of selection and medical officers,5.020811463360168,3.612217965408315,2.2934017675284193,4.603898865792188,1.0,1.2375657523969967,1.2014201513800349,1.265724339466784,3.8033134138676687,2.792799004025491,1.3536324620366882,3.7592234128653064,1.0,True,True
D.2,NAMA agreement,5.126449197016599,2.956646433540844,2.127174166026726,3.7702275669465726,1.0,1.0794508030917882,1.0683713400195847,1.0908614173106685,4.498146572638868,2.629779722301564,1.812338198137989,3.395125033418641,1.0,True,True
D.1,DM.1,4.022512614477761,3.468111324995203,2.823225665978262,4.043510816612206,1.0,1.0428414791924134,1.0346949143818955,1.0511771550816584,2.942895146975843,2.6063515917891005,2.0210024358364476,3.1782213244878874,1.0,True,True
D.1,Judicial and political background check,4.2570131167472995,3.5186778025998247,2.326726423940933,4.757308372780279,1.0,1.0501234190358906,1.0421922591851853,1.0588055247183938,2.9712599942801163,2.397453490350772,1.2548750040042376,3.740795843616105,1.0,True,True
