true_type,Approval notice,D.1,D.2,DM.1,Judicial and political background check,NAMA agreement,Registration card,Report of selection and medical officers,Testimonial labour (Qualification & Employment Proof),Testimonial medical form (Medical & Health Documents),Testimonial medical letter (Medical & Health Documents),Other
Approval notice,0.9587840833164782,0.005385376312027636,0.0032106183224835795,0.0036838197963469945,0.0012869748700915428,0.0024984062180201778,0.0014488209778623683,0.0022339350721848855,0.006961128243335674,0.0006535906126073346,0.002991536197648105,0.010861710060913254
D.1,0.0003915882357947041,0.9907370293345122,0.0008324115651108186,0.0010264448063617014,0.00029892719029988717,0.0005821741633158554,0.00031460982813138447,0.00060677262886041,0.001657117039611447,0.0001236211445949701,0.0007310702685705948,0.0026982337948359917
D.2,0.0006129931372708829,0.002594080543369518,0.9824746557083499,0.0018335423041012755,0.0006855888005569888,0.0010215792163203413,0.0006252685993585562,0.0008978342030813418,0.003000919281186896,0.0003181934828167754,0.0010623983959220681,0.004872946327664514
DM.1,0.00042780114925404365,0.001667863682088506,0.0009469162146724813,0.9298592671966103,0.00042364774020394944,0.0007071236435330871,0.00043728270328730344,0.0006683496705388019,0.0020669593292731705,0.0001832109203421302,0.0009380182047188075,0.06167355954547692
Judicial and political background check,0.001209151328370351,0.004453212075652822,0.002762212348346246,0.0034945195134842106,0.9639486260156608,0.00207965744284836,0.0011947572337434214,0.0019267192999765786,0.005679603291580282,0.0005718050494261658,0.0025492859856242225,0.010130450415287276
NAMA agreement,0.0007714081124517509,0.0027175705807193622,0.001808900281120153,0.051208373016232656,0.0007234637374037977,0.9296839835896811,0.0007125423434995387,0.0011448204032776855,0.0037595620816624964,0.0002753772998632101,0.0015321746604010623,0.005661823893683386
Registration card,0.001359442416725809,0.004640933310983115,0.0026492333496275305,0.003318074607221255,0.0010323084888606354,0.0020531466525134682,0.9644345984059262,0.002005832997027035,0.0060242839152669855,0.000490836955610159,0.0024761310777371144,0.00951517782250347
Report of selection and medical officers,0.05255531641784039,0.002620152046470374,0.001685596547590323,0.00227218109219229,0.0006705940490584305,0.001266611002550667,0.0008929012903285652,0.925899675480803,0.00380857640097406,0.00026463339419679225,0.0015473778822380133,0.0065163843957565665
Testimonial labour (Qualification & Employment Proof),0.0003116575526705862,0.001169705679394363,0.0007004887811451879,0.0008716022448547277,0.00023771819392465177,0.0004396131721953905,0.00024142515730649758,0.00047972217218901806,0.9736785800719152,0.00015178035226642118,0.000619677788326221,0.021098028833814248
Testimonial medical form (Medical & Health Documents),0.0019695960935892437,0.008355726634546139,0.00483172602351821,0.006482468921919057,0.0025444606295827073,0.003145753390334253,0.002500339669812103,0.0034267385637521013,0.011316534190184732,0.9319663789479672,0.004791391016867938,0.01866888591792385
Testimonial medical letter (Medical & Health Documents),0.0005923321576699752,0.002495751265980684,0.0015301469682795382,0.0021175106862450234,0.0006476999635733286,0.0009514730760227704,0.0006251020620631172,0.0010308108803411683,0.0031837567074971844,0.000324250557450101,0.9812754312014401,0.005225734473437279
Other,0.010636573661530585,0.0006021555040875716,0.02147855357728486,0.00043817102050992015,0.00015446129682344681,0.00029864146598902145,0.0001692245799613593,0.0002622759260282569,0.03242546861912236,5.618140573945297e-05,0.00030712004422347056,0.933171172898695
