doc_type,naive_prevalence,naive_mean_count,naive_mean_count_given_present,naive_frac_single_given_present,corrected_prevalence_mean,corrected_prevalence_hdi_3,corrected_prevalence_hdi_97,corrected_mean_count_mean,corrected_mean_count_hdi_3,corrected_mean_count_hdi_97,corrected_mean_count_given_present_mean,corrected_mean_count_given_present_hdi_3,corrected_mean_count_given_present_hdi_97,corrected_frac_single_given_present_mean,corrected_frac_single_given_present_hdi_3,corrected_frac_single_given_present_hdi_97
D.1,0.951540532455878,1.960813640442716,2.060672744419994,0.114115058157812,0.9475411307209093,0.9395124139994017,0.9512413999401735,2.0013834878851333,1.8827221058929104,2.1355189949147473,2.1120674589429402,1.9948149171561744,2.250469390182969,0.16252498150794256,0.1279603184024089,0.22324047363994637
NAMA agreement,0.9117559078671852,1.23422075979659,1.3536745406824147,0.7939632545931758,0.8831827699670954,0.8414507927011666,0.901884534848938,1.3141295243793,1.1975201914448101,1.4606431349087647,1.4876955256400237,1.3866911060349276,1.6304093957242554,0.7088216177757701,0.6241876285240464,0.7679037423035071
DM.1,0.8339814537840263,2.1142686209991024,2.5351506456241033,0.1757532281205165,0.8462174693389172,0.8232037092431947,0.872007179180377,2.211839664971582,1.991615315584804,2.437514208794496,2.6122936875162304,2.4184151886149836,2.810534197810456,0.2160063453165062,0.18340824038306494,0.2644894315977698
Testimonial medical letter (Medical & Health Documents),0.8546215973676339,2.5103200717918037,2.937346867343367,0.28106405320266015,0.8401869578223153,0.8222883637451391,0.8513849835477116,2.392647322763984,2.254355369428657,2.501208495363446,2.8472608430762265,2.736245534505521,2.9320283833141336,0.3004186586842063,0.28146152621579357,0.3240612692999463
Testimonial labour (Qualification & Employment Proof),0.8435536942865689,3.830391863595573,4.540780141843972,0.16099290780141845,0.8376742446903979,0.8178013760095723,0.858591085851032,3.5227340711935384,3.2240442716123243,3.743688303918636,4.204292411091546,3.934142228739003,4.413362301991351,0.1783666039438799,0.16152421350300458,0.19783293185942916
D.2,0.8956027520191445,1.749326951839665,1.9532398129592519,0.6319305277221109,0.8323676338618009,0.7761531558480407,0.8770834579718816,1.6007777445408318,1.4165480107687707,1.7476667663775052,1.9220159986725185,1.831969945942206,2.022408429141762,0.615649866187455,0.5635763084292739,0.6420453622624359
Report of selection and medical officers,0.784624588692791,0.8833383188752617,1.125810141059855,0.8844834159359513,0.7825620699970088,0.7465180975172001,0.8017559078671852,1.0584863894705356,0.9415524977565061,1.2294974573736166,1.3522644056253617,1.2053957467709215,1.5561539382186151,0.706287740937919,0.5681141135027781,0.8167430088008673
Registration card,0.7568052647322764,1.0780735865988633,1.424505928853755,0.6592885375494071,0.7491863595572839,0.7104128028716722,0.773754113072091,1.111443314388274,1.0235477116362548,1.2236045468142387,1.4829668222873529,1.4156363942816548,1.5799663728426758,0.6316458592382665,0.5793160559936426,0.6698193226138521
Judicial and political background check,0.6335626682620401,1.4400239306012563,2.2728989612842305,0.2129367327667611,0.6326697577026623,0.6137750523481903,0.6677265928806462,1.3879419682919534,1.2663296440323064,1.4924618606042477,2.1927876728978823,2.060109360993725,2.2567032028680396,0.26756309175353576,0.23642691862534615,0.31731300619342545
Approval notice,0.7185163027221059,0.8031708046664673,1.1178184845961698,0.9109075770191507,0.6065674543822914,0.484762189650015,0.6874603649416692,0.6965913849835478,0.5335118157343703,0.8298564163924619,1.1468367274054407,1.099925784810901,1.2423624967072158,0.8826182738073755,0.7963061088022757,0.9192701069895918
Testimonial medical form (Medical & Health Documents),0.4053245587795393,0.45318576129225246,1.118081180811808,0.9180811808118081,0.41016153155848045,0.3816302722105893,0.4669638049655998,0.47010020939276104,0.4313790008973975,0.5740891414896799,1.1441927105289909,1.1104219650168665,1.2317322793226244,0.8930271555516606,0.8170514544037513,0.9219854793630381
Other,1.0,6.441220460664074,6.441220460664074,0.012563565659587198,0.9985985641639246,0.9964104098115465,0.9997008674842955,6.391561471731977,6.009805563864792,6.713574633562668,6.4004378437519724,6.025767770815585,6.719532274175817,0.027126401344487433,0.017944979362823826,0.040789345201386704
