doc_type,naive_mean_position,naive_sd_position,corrected_mean_position_mean,corrected_mean_position_hdi_3,corrected_mean_position_hdi_97,corrected_sd_position_mean,corrected_sd_position_hdi_3,corrected_sd_position_hdi_97,naive_rank_theta,corrected_rank_theta_mean,corrected_rank_theta_hdi_3,corrected_rank_theta_hdi_97
D.1,0.21994499638177045,0.21804249388977492,0.22554221411862085,0.21776896459832595,0.24174236357571802,0.221828247926615,0.21555412658693252,0.23807929052882376,-1.8914892473121383,-1.7794009670721735,-1.8668261056110267,-1.6816126312863586
Approval notice,0.36450224595090513,0.2593408398223855,0.3713277930528916,0.3552268219978053,0.398789580740861,0.26112894572476525,0.2512188895779742,0.2751845938520419,-0.8216438757043476,-0.7448590982350718,-0.8128664657657105,-0.6591784622767939
DM.1,0.4329589015232549,0.24300219429685438,0.43470731523857975,0.4269149001824064,0.44451620223442795,0.2505476551568466,0.24151692693946325,0.2617693346189812,-0.5028689674289595,-0.5566365801261495,-0.7069300106129959,-0.4410830467035121
NAMA agreement,0.4921317086625392,0.21012863264811457,0.4931045334720426,0.4828409191102254,0.5057007595412388,0.21395914495342347,0.207266406123244,0.2231283798259021,-0.04601976132689789,-0.04991607544643394,-0.13500088187666237,0.021382447446304683
Registration card,0.5280202077412718,0.2519453380164124,0.5306672390422039,0.5158101281140344,0.5413580167996843,0.2517274539822139,0.2448378720233136,0.2628662835702976,-0.023071432500152644,0.009376480221457652,-0.10200263552648783,0.07507427468035117
Report of selection and medical officers,0.6112166704714307,0.343457359649768,0.5952481196548889,0.5689135625127529,0.6154786567676059,0.339435598574452,0.3290740053905421,0.3492839104912627,0.4525056387267461,0.34679432455755616,0.1564803376871717,0.4751310983592132
Judicial and political background check,0.5602445701122885,0.20493462101920604,0.5607118842072089,0.5489106027788752,0.5686743207512364,0.20726103582686978,0.20128288553965404,0.21882414395550484,0.35395651372307,0.3707388854297547,0.2307430856294289,0.4483139403635859
Testimonial labour (Qualification & Employment Proof),0.6353773606162993,0.21846995370198638,0.6316518502655613,0.6193186124738195,0.6395713751963014,0.22507911078332785,0.2181302558577639,0.23768441819467132,0.4907783934321497,0.4126316376743222,0.19309777249512372,0.5418165235170584
Testimonial medical letter (Medical & Health Documents),0.6594973338063411,0.26048854899839463,0.6581618549922669,0.649127715240199,0.6649009837144974,0.2611474822481712,0.25629343870483157,0.2677965474965467,0.44698697283165467,0.47300793224868976,0.3703224824691384,0.5400909972988863
D.2,0.6007252968669208,0.23366677184481616,0.6005180371936549,0.582941430221236,0.6091640210326373,0.23520045169563744,0.22895295966287485,0.24868856476441972,0.4893420206537269,0.5029057575255597,0.33784172924903205,0.5769170679996877
Testimonial medical form (Medical & Health Documents),0.7482054693725454,0.25644962737123056,0.7327870108227293,0.6822352698637131,0.7576213069320554,0.26424837393810613,0.24886026265957206,0.2962760691286523,1.0515237449051469,1.0153577032224885,0.7326421869885008,1.1307993651292583
