doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-2.118332243842115,-3.8975100165688867,-0.3271856758329271,0.015,64.36936267149949,52.46305631997257,76.79979104877611,1.0,49.40450478757472,43.66207889118397,55.45964545172041,1.0
DM.1,4.174903113787443,2.4534715989672313,5.911689257005991,1.0,48.2251884818869,37.52562235800885,59.4005161502865,1.0,27.833270718020383,22.203858227377495,33.35040159304775,1.0
Judicial and political background check,0.8877737895564533,-1.1216666626513243,2.8480488677259466,0.8105,41.34988129790811,29.273154977759805,54.180306089897925,1.0,24.06526168586548,17.099630465984404,31.105320570252598,1.0
NAMA agreement,-1.2779023283783835,-3.4308159792076562,0.821440133911691,0.126,39.92785750540866,27.06866205024688,53.50272971520511,1.0,41.623678639520975,34.433511269251255,49.093051378866946,1.0
Testimonial medical letter (Medical & Health Documents),6.131296398908611,4.116680638378736,8.252925570314062,1.0,33.17721874090084,20.462985338745423,47.01790610107839,1.0,33.26951962199911,25.00208338377605,42.24556257437117,1.0
D.1,-2.7044930935631006,-4.4222087755364115,-0.9784958173326289,0.00075,17.741473963844903,8.262731003733547,27.91185311452776,0.99975,13.577790760714855,7.838612363886752,19.31318304418975,1.0
Approval notice,-1.0761586286383085,-3.666565717997939,1.5613259394247798,0.21425,6.518022571827022,-8.29705564434328,22.184475442476174,0.7915,2.290918274480426,-6.715895293333017,11.689125608794106,0.6715
Registration card,2.2391589729521475,-0.10687389997340213,4.718714598799469,0.9625,4.454224339615396,-7.380603950141139,17.7630143923714,0.74575,12.16909691701381,4.2009996345103255,20.446929197480276,0.9975
Testimonial labour (Qualification & Employment Proof),-1.6333204309013316,-3.480353632537442,0.27900340219454156,0.05275,4.225524485927713,-6.0025272917448165,14.801489275266027,0.7665,26.432414736908846,19.03724657478872,34.60971658549374,1.0
Testimonial medical form (Medical & Health Documents),-0.3502686651174367,-3.314774267812632,2.6123017623190843,0.408,3.37411217186923,-13.20736648205034,21.730099159657254,0.62775,3.226062700349057,-7.1262432707748085,13.949659697122522,0.71675
Report of selection and medical officers,-0.5433010656750599,-2.9411114126808005,1.9191562451667352,0.33425,1.772691921129544,-11.494905591813806,15.36107789062351,0.595,2.23766321302086,-6.099416032546761,10.693970562046314,0.68325
