doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-2.811446767843231,-5.203887451730164,-0.4292454407041752,0.012,71.5992312293426,53.36982318667746,90.96898155846593,1.0,54.30328928346696,46.359366087811615,62.64498200897632,1.0
DM.1,3.4324438983654013,1.2583826572847971,5.663939802421194,0.9995,46.596397669806514,32.61466680096529,61.74803040085013,1.0,28.179570355064964,20.883671631576995,35.738172527133415,1.0
Judicial and political background check,-0.04892640149288671,-2.507303077463649,2.3705621848874294,0.47925,40.234358549511164,24.401508477358202,58.058567848029966,1.0,15.338116528590051,7.090262884548921,23.72329687009941,0.99975
NAMA agreement,-1.108129234447143,-3.7721890245456273,1.638431865735977,0.22925,35.53044015767293,18.24169220701259,54.404404426032556,1.0,44.17601860038857,34.723791197717276,54.078771654310074,1.0
Testimonial medical letter (Medical & Health Documents),5.488171570383009,3.0961719098288008,7.923476280549526,1.0,25.108506207043437,11.656863946746546,39.6392265032096,0.99975,30.02444582787644,21.703189650602482,38.661734441234415,1.0
Registration card,1.5427171761512832,-1.1395183781667941,4.331410662181958,0.854,5.765923496113841,-9.700312950235626,22.186781241741645,0.75125,14.285582088917018,5.244686319067477,23.703345784730885,0.99875
Approval notice,-0.6725345822548131,-3.740023574727486,2.330707858494036,0.343,4.170065246824311,-12.571852595320106,22.240473415030944,0.66725,2.6701636019349366,-6.933280455028344,13.000244736450197,0.68525
Testimonial labour (Qualification & Employment Proof),-2.022473084367785,-4.330802171609391,0.3334109430436522,0.048,2.4436976296316715,-10.550433943025675,16.503888088362825,0.62725,28.7540319674045,19.88280807698601,38.19468158467588,1.0
D.1,-1.3752188411396018,-3.635252745224819,0.8796159560072189,0.117,0.4418736329225484,-11.569042908504922,12.947804627495364,0.514,4.171780070078448,-3.4266562655317867,11.991318552567177,0.84075
Report of selection and medical officers,-0.3273653951387728,-3.205548398546585,2.59732068299144,0.4105,-0.573354385780157,-16.621519578660322,16.707054382145625,0.46075,3.4429014307712857,-6.37531965051765,13.649599725332225,0.73525
Testimonial medical form (Medical & Health Documents),0.5999090578440657,-2.671729710294565,3.945962684455099,0.6285,-1.1469558785144705,-18.57942778419251,18.20454462026848,0.43775,3.826581657865578,-7.03420717492342,15.20548248697366,0.741
