doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-1.1400404871157352,-3.646696862961794,1.3813168823429667,0.197,58.71672947410091,42.76745057396915,75.88750991884677,1.0,43.52004625047026,34.700732657086895,52.83350598138381,1.0
DM.1,4.6156945574381245,1.8571462492369513,7.36709175264731,0.99975,48.75084168714098,33.00718711076118,65.96038065696607,1.0,27.9456053272216,19.223509543097915,36.959907587947114,1.0
NAMA agreement,-1.2025795970451094,-4.239891301347466,1.8787561511116482,0.232,43.56498263942904,26.620077032061705,62.483112422964794,1.0,36.463857117904844,25.972483561211796,47.37193921907052,1.0
Testimonial medical letter (Medical & Health Documents),6.25679005977073,2.7732637321118982,9.934973163031101,0.99975,40.777529511807295,21.539755775335422,63.46815962568592,1.0,36.373567725216304,22.02256933922599,52.6618538516321,1.0
Judicial and political background check,2.7978027189443955,-0.17976488843680216,5.871528641407907,0.961,35.8329553833401,19.528060495806997,53.93707290843915,1.0,38.19069802368432,27.124330599701345,49.79116434012347,1.0
D.1,-3.150541954220764,-5.730866798586317,-0.643534831419198,0.00875,29.978025602860036,16.249446310516344,44.68483421041935,1.0,23.72663143438099,15.462644316845152,31.905492752170538,1.0
Testimonial medical form (Medical & Health Documents),-1.9176430488906244,-7.662046142130524,3.4346263706084144,0.2515,22.17462005372694,-8.490239184498535,54.7222106180393,0.90875,3.6798674529822404,-17.612334245980673,25.831616967986765,0.6205
Approval notice,-1.2181189140710929,-5.872875155881002,3.4273355913325743,0.3145,16.86217620626533,-10.267637653852544,45.02183192583199,0.876,2.6932063293647808,-15.249052592866972,21.760475721482305,0.6045
Testimonial labour (Qualification & Employment Proof),-0.6919982066771426,-3.513177179668229,2.228568908122104,0.3265,9.47604054180333,-6.7078843802576325,27.26658930912361,0.84825,23.442724873133,11.836772184462928,36.028381170073594,1.0
Report of selection and medical officers,-0.8214315748718481,-4.512001256777466,2.8315703638608554,0.3375,9.353116813464592,-11.220944372904926,30.640731572103338,0.7965,0.7063898011848564,-12.973174789007482,14.982998140344069,0.53025
Registration card,2.670034008268098,-1.0578389857137238,6.5392843574159505,0.9075,8.44054450852075,-12.316834831352507,29.40424741015123,0.7635,6.906793882857011,-6.927832002308799,21.264893365483864,0.823
