doc_type,preadult_pct_pre1956,preadult_pct_post1956,diff_mean,diff_hdi_3,diff_hdi_97,p_post_lt_pre
D.1,29.97802560286004,0.4418736329225484,-29.536151969937492,-47.77924372691789,-10.275483761820881,0.999
Testimonial medical letter (Medical & Health Documents),40.777529511807295,25.108506207043437,-15.669023304763861,-41.42701645385964,8.166050923579492,0.89025
Testimonial medical form (Medical & Health Documents),22.17462005372694,-1.1469558785144705,-23.32157593224141,-60.246962030919896,12.56841551052166,0.88925
Approval notice,16.862176206265328,4.17006524682431,-12.692110959441022,-44.68982204884124,19.85257077531752,0.77275
Report of selection and medical officers,9.353116813464592,-0.573354385780157,-9.92647119924475,-36.733733429452485,16.608818649407635,0.75
Testimonial labour (Qualification & Employment Proof),9.47604054180333,2.4436976296316715,-7.032342912171658,-29.109183393033316,13.955382656911732,0.72375
NAMA agreement,43.56498263942904,35.530440157672935,-8.034542481756114,-33.774860068261454,17.879315209141474,0.72325
Registration card,8.44054450852075,5.765923496113841,-2.6746210124069085,-28.795967200781213,24.477606913585365,0.5785
DM.1,48.75084168714098,46.59639766980652,-2.1544440173344697,-24.183367595546077,19.971663834359195,0.57
Judicial and political background check,35.8329553833401,40.23435854951117,4.401403166171067,-20.66395590019134,28.912137208517485,0.36225
D.2,58.71672947410091,71.5992312293426,12.882501755241693,-11.864439518187718,38.149793964653156,0.16825
