doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner
Testimonial medical letter (Medical & Health Documents),1307,-2567.3186415603477,-2564.600738225955,2.7179033343927586,2.51967901186883,presence
NAMA agreement,1307,-1492.2226918492456,-1491.6367227065139,0.5859691427317557,1.6784617151065828,presence
DM.1,1307,-2109.0158459462154,-2108.7930269452227,0.22281900099278573,4.019169409763944,presence
Approval notice,1307,-1035.7331201601055,-1035.577072493792,0.15604766631349776,0.19070435253362072,presence
Testimonial medical form (Medical & Health Documents),1307,-883.1419318263197,-883.0628276111904,0.07910421512929133,0.09777486306315997,presence
Registration card,1307,-1373.0426915520877,-1373.0267883110412,0.01590324104654428,0.3614587792055636,presence
Report of selection and medical officers,1307,-1173.278435881046,-1173.266187255002,0.012248626044083721,0.06676882351234417,presence
Testimonial labour (Qualification & Employment Proof),1307,-3218.526242089424,-3218.6280690540725,-0.10182696464835317,0.28140648822847764,count
D.1,1307,-1913.4321545514952,-1915.9881826645083,-2.556028113013099,1.5593281125686045,count
D.2,1307,-1829.5919060328642,-1832.6220922242758,-3.0301861914115307,5.660148287276633,count
Judicial and political background check,1307,-1754.6440200979146,-1759.6272477856805,-4.983227687765975,3.9469336591407056,count
