doc_type,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,delta_mean,delta_hdi_3,delta_hdi_97,p_delta_gt_0,p_adult_effect_gt_0,p_minor_effect_gt_0
D.2,64.68396395828658,58.54139775666014,70.93050922430928,2.5661042094355357,0.934606459832737,4.237935449906408,0.4733663069346539,0.42977830166740444,0.5169855459507581,1.0,1.0,0.998
NAMA agreement,50.97181084635341,43.9072611823888,58.23382442980003,1.5212362278093159,-0.504458865287439,3.5186819303556685,0.3965632090233281,0.34029348819785804,0.4517889845990756,1.0,1.0,0.9205
Testimonial medical letter (Medical & Health Documents),40.0890294958518,31.973418876097803,48.5716146805165,7.867324172904408,5.8461512829412285,9.852819167641025,0.26092030401553823,0.1934136880717437,0.327838329508305,1.0,1.0,1.0
DM.1,36.88177778559403,31.458649949718957,42.4918627465177,7.276995628837531,5.631817016946337,9.022764463767764,0.24350330830069647,0.19590130718703358,0.29050117781819185,1.0,1.0,1.0
Judicial and political background check,32.24531351407672,25.28484325481266,39.2175308917045,3.650113153496757,1.7641814761044337,5.57815981410892,0.2433041601238666,0.18416444628250103,0.3005961057780509,1.0,1.0,1.0
Testimonial labour (Qualification & Employment Proof),27.895644984181033,20.644611502770616,35.4005647281634,-1.2684046595865432,-3.0630794111154893,0.5418365144554871,0.25838015377872103,0.1927368919623693,0.32481344219363917,1.0,1.0,0.102
D.1,17.588183517557646,12.017239888838471,23.34718286405132,-1.5308582532807702,-3.2086787477490994,0.07658923257244096,0.17716075554456984,0.12057875149174153,0.23361092830810332,1.0,1.0,0.03875
Registration card,12.47892800697958,4.777112330930863,20.232260001880423,2.54181193526448,0.3190281549739271,4.732676708183311,0.0918965947350797,0.014152022046804503,0.16728295233086163,0.98625,0.99925,0.98325
Approval notice,3.231461475196187,-5.398413408329919,12.032528347399083,-0.529166177393421,-3.27704707899037,2.0489460282416827,0.036175289742830276,-0.061397938436963354,0.1339398986830963,0.762,0.7495,0.3575
Testimonial medical form (Medical & Health Documents),3.1223209975742967,-7.282692589421981,13.95397597135478,0.07804046854205986,-2.891441139080446,3.1266475716836997,0.028595214100072732,-0.08798255136174601,0.1413006330004104,0.68775,0.7105,0.51625
Report of selection and medical officers,2.2903117251359775,-5.404559235448261,10.265464701841752,-0.2734235513347507,-2.625039298354107,1.992567749687806,0.024625233300936373,-0.06181379749158506,0.11081635393084109,0.70925,0.70525,0.41775
