travel_year,minor_lt16,preadult_16_17,adult_18plus,era,num_adults,num_minors,num_docs,num_docs_raw
1952,0,0,1,0,1.0,0.0,9.891753450288268,10
1958,5,0,2,1,2.0,5.0,22.913399410656258,23
1958,3,0,2,1,2.0,3.0,27.564776296412088,28
1958,0,0,1,1,1.0,0.0,13.058225366881008,13
1959,0,0,1,1,1.0,0.0,18.949232982255612,19
1959,0,0,1,1,1.0,0.0,18.728264873350177,19
1958,5,2,2,1,2.0,7.0,33.51102593901305,34
1954,5,1,5,0,5.0,6.0,25.19599889162725,26
1956,2,0,2,1,2.0,2.0,22.858157383429898,23
1955,2,0,2,0,2.0,2.0,19.912653575742596,20
1955,3,0,2,0,2.0,3.0,15.04030858108133,15
1955,3,0,2,0,2.0,3.0,23.876820004143237,24
1956,0,0,1,1,1.0,0.0,29.546859510612407,30
1956,4,1,6,1,6.0,5.0,58.94665556025908,60
1960,5,1,2,1,2.0,6.0,26.546113675698745,27
1960,6,0,2,1,2.0,6.0,17.07763382250801,17
1965,0,0,1,1,1.0,0.0,19.58120141238444,20
1965,1,0,2,1,2.0,1.0,25.637935109438125,26
1954,2,0,2,0,2.0,2.0,25.527451054985406,26
1955,2,0,2,0,2.0,2.0,21.67376868103748,22
1955,5,0,2,0,2.0,5.0,26.546113675698745,27
1955,0,0,2,0,2.0,0.0,29.602101537838767,30
1955,4,1,2,0,2.0,5.0,34.142994369141874,35
1952,3,1,5,0,5.0,4.0,31.69466880649181,32
1952,3,0,3,0,3.0,3.0,12.150046800620386,12
1952,1,0,2,0,2.0,1.0,11.818594637262231,12
1953,3,0,2,0,2.0,3.0,22.74767332897718,23
1956,9,0,2,1,2.0,9.0,40.034001984516486,41
1961,0,0,1,1,1.0,0.0,16.00372917456831,16
1959,0,0,2,1,2.0,0.0,20.76559011477686,21
1957,0,0,2,1,2.0,0.0,20.82083214200322,21
1957,1,0,2,1,2.0,1.0,40.31021212064828,41
1961,0,0,1,1,1.0,0.0,17.764844279863198,18
1963,2,0,2,1,2.0,2.0,23.82157797691688,24
1960,9,0,2,1,2.0,9.0,22.913399410656258,23
1952,2,0,2,0,2.0,2.0,9.946995477514628,10
1952,2,0,3,0,3.0,2.0,58.33899326076913,60
1952,2,1,2,0,2.0,3.0,20.7103480875505,21
1961,1,0,2,1,2.0,1.0,17.764844279863198,18
1959,4,0,2,1,2.0,4.0,19.11495906393469,19
1959,12,1,2,1,2.0,13.0,30.39979604964667,31
1958,0,0,2,1,2.0,0.0,16.967149768055293,17
1958,0,0,2,1,2.0,0.0,21.56328462658476,22
1959,1,0,2,1,2.0,1.0,23.76633594969052,24
1961,0,0,1,1,1.0,0.0,13.96640393314163,14
1958,4,0,2,1,2.0,4.0,17.875328334315913,18
1958,3,1,2,1,2.0,4.0,23.987304058595956,24
1958,2,0,2,1,2.0,2.0,20.76559011477686,21
1958,0,0,1,1,1.0,0.0,24.67451451595114,25
1960,2,0,2,1,2.0,2.0,23.545367840785083,24
1959,1,0,2,1,2.0,1.0,28.36247080821999,29
1956,0,0,2,1,2.0,0.0,31.307974615907295,32
1956,0,0,1,1,1.0,0.0,21.72901070826384,22
1956,5,1,3,1,3.0,6.0,28.804407026030862,29
1953,8,0,2,0,2.0,8.0,28.749164998804503,29
1957,5,0,2,1,2.0,5.0,29.602101537838767,30
1957,2,0,2,1,2.0,2.0,17.985812388768633,18
1957,4,2,2,1,2.0,6.0,25.85890321834356,26
1956,2,1,3,1,3.0,3.0,33.56626796623941,34
1956,0,0,2,1,2.0,0.0,15.948487147341952,16
1956,5,0,2,1,2.0,5.0,15.948487147341952,16
1956,5,0,2,1,2.0,5.0,13.168709421333727,13
1956,1,0,2,1,2.0,1.0,27.620018323638444,28
1955,1,0,3,0,3.0,1.0,30.39979604964667,31
1955,3,0,2,0,2.0,3.0,17.820086307089554,18
1954,1,1,2,0,2.0,2.0,26.546113675698745,27
1955,1,0,2,0,2.0,1.0,13.911161905915272,14
1954,0,0,1,0,1.0,0.0,18.617780818897458,19
1955,6,0,2,0,2.0,6.0,37.4751923674137,38
1955,4,0,2,0,2.0,4.0,23.711093922464162,24
1956,4,1,4,1,4.0,5.0,41.38411676858798,42
1954,5,0,2,0,2.0,5.0,28.583438917125427,29
1956,5,0,2,1,2.0,5.0,25.005966679309296,25
1956,0,0,1,1,1.0,0.0,11.984320718941309,12
1956,4,0,2,1,2.0,4.0,31.52894272481273,32
1956,0,0,2,1,2.0,0.0,22.74767332897718,23
1956,5,0,2,1,2.0,5.0,33.51102593901305,34
1956,2,0,2,1,2.0,2.0,38.383370933674314,39
1956,3,1,2,1,2.0,4.0,23.76633594969052,24
1958,5,0,2,1,2.0,5.0,26.546113675698745,27
1962,3,1,2,1,2.0,4.0,27.620018323638444,28
1957,6,0,2,1,2.0,6.0,28.804407026030862,29
1957,0,0,2,1,2.0,0.0,27.28856616028029,28
1957,2,0,3,1,3.0,2.0,37.309466285734615,38
1956,0,0,1,1,1.0,0.0,19.802169521289876,20
1956,3,0,2,1,2.0,3.0,20.59986403309778,21
1956,2,0,2,1,2.0,2.0,34.25347842359459,35
1956,1,0,2,1,2.0,1.0,52.83467983597904,54
1956,0,0,2,1,2.0,0.0,26.546113675698745,27
1956,1,0,2,1,2.0,1.0,23.545367840785083,24
1955,1,0,2,0,2.0,1.0,23.76633594969052,24
1956,3,0,2,1,2.0,3.0,26.711839757377824,27
1956,3,0,2,1,2.0,3.0,28.638680944351787,29
1956,5,1,2,1,2.0,6.0,25.74841916389084,26
1956,4,1,2,1,2.0,5.0,31.36321664313365,32
1956,0,0,2,1,2.0,0.0,26.656597730151464,27
1955,4,0,2,0,2.0,4.0,37.309466285734615,38
1955,7,0,2,0,2.0,7.0,33.73199404791849,34
1956,0,0,1,1,1.0,0.0,15.838003092889233,16
1960,0,0,2,1,2.0,0.0,24.619272488724782,25
1960,2,1,2,1,2.0,3.0,32.87905750888422,33
1953,2,0,2,0,2.0,2.0,22.637189274524463,23
1953,1,1,2,0,2.0,2.0,36.06983555611584,37
1956,0,0,2,1,2.0,0.0,28.528196889899068,29
1956,2,0,2,1,2.0,2.0,25.8036611911172,26
1958,6,0,2,1,2.0,6.0,21.72901070826384,22
1958,3,0,2,1,2.0,3.0,25.637935109438125,26
1953,6,0,2,0,2.0,6.0,25.19599889162725,26
1953,0,0,1,0,1.0,0.0,18.783506900576537,19
1952,1,0,2,0,2.0,1.0,26.38038759401967,27
1952,4,0,2,0,2.0,4.0,28.472954862672708,29
1963,0,0,1,1,1.0,0.0,15.782761065662875,16
1954,2,0,3,0,3.0,2.0,31.307974615907295,32
1954,3,0,2,0,2.0,3.0,13.855919878688912,14
1954,1,0,2,0,2.0,1.0,18.728264873350177,19
1955,0,0,2,0,2.0,0.0,25.91414524556992,26
1955,4,0,2,0,2.0,4.0,35.603593207666094,36
1955,0,0,1,0,1.0,0.0,10.002237504740986,10
1955,6,0,2,0,2.0,6.0,22.913399410656258,23
1952,2,0,2,0,2.0,2.0,20.876074169229575,21
1952,1,1,3,0,3.0,2.0,15.893245120115592,16
1952,1,0,2,0,2.0,1.0,17.65436022541048,18
1952,0,0,1,0,1.0,0.0,8.983574884027647,9
1952,0,0,2,0,2.0,0.0,9.836511423061909,10
1952,3,0,2,0,2.0,3.0,18.838748927802897,19
1952,1,0,2,0,2.0,1.0,10.85517404377525,11
1952,1,1,2,0,2.0,2.0,19.6364434396108,20
1952,1,0,2,0,2.0,1.0,14.708856417723174,15
1952,1,1,3,0,3.0,2.0,19.912653575742596,20
1952,0,0,2,0,2.0,0.0,14.874582499402251,15
1952,2,0,2,0,2.0,2.0,12.83725725797557,13
1955,0,0,1,0,1.0,0.0,15.04030858108133,15
1955,4,1,5,0,5.0,5.0,49.699143815973784,50
1952,0,0,1,0,1.0,0.0,11.818594637262231,12
1952,4,0,2,0,2.0,4.0,45.127315088083186,46
1952,0,0,2,0,2.0,0.0,20.434137951418702,21
1952,0,0,2,0,2.0,0.0,13.690193797009835,14
1952,0,0,1,0,1.0,0.0,7.056733697053684,7
1952,4,0,2,0,2.0,4.0,19.11495906393469,19
1953,4,0,2,0,2.0,4.0,26.656597730151464,27
1956,6,0,2,1,2.0,6.0,23.711093922464162,24
1957,3,0,2,1,2.0,3.0,27.45429224195937,28
1953,6,0,2,0,2.0,6.0,34.529688559726395,35
1959,4,0,2,1,2.0,4.0,31.63942677926545,32
1955,6,0,2,0,2.0,6.0,27.45429224195937,28
1956,7,1,2,1,2.0,8.0,19.967895602968955,20
1956,4,0,2,1,2.0,4.0,20.876074169229575,21
1960,0,0,2,1,2.0,0.0,21.72901070826384,22
1960,3,0,2,1,2.0,3.0,19.802169521289876,20
1958,2,0,2,1,2.0,2.0,25.637935109438125,26
1963,2,0,2,1,2.0,2.0,49.20196557093655,50
1954,6,0,2,0,2.0,6.0,19.802169521289876,20
1955,4,0,3,0,3.0,4.0,46.14597770879653,47
1955,3,0,2,0,2.0,3.0,13.911161905915272,14
1952,0,0,2,0,2.0,0.0,8.928332856801287,9
1952,2,0,2,0,2.0,2.0,12.89249928520193,13
1953,4,0,2,0,2.0,4.0,21.7842527354902,22
1960,3,1,3,1,3.0,4.0,31.58418475203909,32
1952,2,0,2,0,2.0,2.0,11.87383666448859,12
1957,1,0,4,1,4.0,1.0,73.56369054424287,75
1958,5,0,2,1,2.0,5.0,19.857411548516236,20
1957,2,0,2,1,2.0,2.0,26.32514556679331,27
1960,6,0,2,1,2.0,6.0,17.875328334315913,18
1952,0,0,1,0,1.0,0.0,9.891753450288268,10
1958,3,0,2,1,2.0,3.0,18.949232982255612,19
1958,0,0,2,1,2.0,0.0,25.693177136664485,26
1958,0,0,1,1,1.0,0.0,14.021645960367989,14
1959,0,0,2,1,2.0,0.0,18.838748927802897,19
1957,3,1,2,1,2.0,4.0,27.50953426918573,28
1959,6,0,2,1,2.0,6.0,20.76559011477686,21
1956,4,0,4,1,4.0,4.0,36.401287719474,37
1960,7,1,2,1,2.0,8.0,23.76633594969052,24
1956,3,0,2,1,2.0,3.0,20.82083214200322,21
1960,0,1,2,1,2.0,1.0,19.802169521289876,20
1962,7,0,2,1,2.0,7.0,18.041054415994992,18
1958,0,0,2,1,2.0,0.0,28.583438917125427,29
1958,5,0,2,1,2.0,5.0,39.12582341825586,40
1957,2,0,2,1,2.0,2.0,27.620018323638444,28
1957,3,0,2,1,2.0,3.0,35.21689901708158,36
1957,2,0,2,1,2.0,2.0,26.490871648472385,27
1953,6,0,2,0,2.0,6.0,13.96640393314163,14
1954,6,0,2,0,2.0,6.0,35.824561316571526,36
1958,5,1,2,1,2.0,6.0,35.32738307153429,36
1958,0,0,1,1,1.0,0.0,18.728264873350177,19
1959,2,1,3,1,3.0,3.0,28.91489108048358,29
1959,1,0,2,1,2.0,1.0,25.637935109438125,26
1954,0,0,2,0,2.0,0.0,37.58567642186642,38
1953,4,0,2,0,2.0,4.0,28.638680944351787,29
1956,3,0,2,1,2.0,3.0,25.527451054985406,26
1956,0,0,3,1,3.0,0.0,37.25422425850826,38
1956,8,0,2,1,2.0,8.0,17.519570040318882,17
1957,2,0,2,1,2.0,2.0,30.620764158552106,31
1956,5,1,2,1,2.0,6.0,30.45503807687303,31
1956,0,0,2,1,2.0,0.0,36.18031961056856,37
1956,6,0,2,1,2.0,6.0,23.711093922464162,24
1956,3,0,4,1,4.0,3.0,31.63942677926545,32
1954,8,2,2,0,2.0,10.0,28.528196889899068,29
1954,1,0,2,0,2.0,1.0,18.617780818897458,19
1955,6,0,2,0,2.0,6.0,29.657343565065126,30
1955,1,0,2,0,2.0,1.0,16.690939631923495,17
1955,4,0,2,0,2.0,4.0,24.89548262485658,25
1954,9,2,3,0,3.0,11.0,54.792456919540484,55
1955,2,2,4,0,4.0,4.0,42.181811280395884,43
1956,3,0,2,1,2.0,3.0,34.08775234191552,35
1956,2,0,2,1,2.0,2.0,22.80291535620354,23
1956,0,0,1,1,1.0,0.0,14.929824526628611,15
1956,0,0,2,1,2.0,0.0,27.9514704869966,28
1956,5,0,2,1,2.0,5.0,25.637935109438125,26
1956,6,0,2,1,2.0,6.0,18.893990955029256,19
1958,2,0,2,1,2.0,2.0,18.893990955029256,19
1960,3,0,2,1,2.0,3.0,26.601355702925105,27
1958,4,0,2,1,2.0,4.0,18.041054415994992,18
1958,1,0,2,1,2.0,1.0,23.600609868011443,24
1957,3,0,2,1,2.0,3.0,21.041800250908654,21
1955,0,0,2,0,2.0,0.0,26.822323811830543,27
1956,0,0,1,1,1.0,0.0,18.728264873350177,19
1955,2,0,4,0,4.0,2.0,24.508788434272066,25
1955,6,1,2,0,2.0,7.0,34.80589869585819,35
1956,0,0,1,1,1.0,0.0,18.783506900576537,19
1956,5,0,2,1,2.0,5.0,23.82157797691688,24
1956,4,0,2,1,2.0,4.0,18.041054415994992,18
1955,1,1,3,0,3.0,2.0,40.420696175101,41
1955,6,0,2,0,2.0,6.0,21.67376868103748,22
1960,3,0,2,1,2.0,3.0,19.912653575742596,20
1960,2,1,4,1,4.0,3.0,35.382625098760656,36
1960,0,0,1,1,1.0,0.0,19.58120141238444,20
1960,0,2,2,1,2.0,2.0,21.508042599358404,22
1953,3,2,5,0,5.0,5.0,51.515500948495024,52
1953,3,0,2,0,2.0,3.0,13.002983339654648,13
1952,4,0,2,0,2.0,4.0,10.002237504740986,10
1952,4,0,2,0,2.0,4.0,20.59986403309778,21
1956,4,0,2,1,2.0,4.0,17.022391795281653,17
1956,5,0,2,1,2.0,5.0,16.801423686376214,17
1956,5,0,2,1,2.0,5.0,22.74767332897718,23
1956,5,0,2,1,2.0,5.0,26.767081784604184,27
1952,2,0,2,0,2.0,2.0,16.967149768055293,17
1952,4,1,2,0,2.0,5.0,20.931316196455935,21
1954,5,0,2,0,2.0,5.0,17.820086307089554,18
1954,5,1,2,0,2.0,6.0,33.23481580288126,34
1954,7,0,2,0,2.0,7.0,20.82083214200322,21
1954,5,0,2,0,2.0,5.0,29.491617483386047,30
1954,2,0,2,0,2.0,2.0,18.838748927802897,19
1954,6,0,2,0,2.0,6.0,14.764098444949534,15
1954,8,0,2,0,2.0,8.0,29.43637545615969,30
1954,5,0,2,0,2.0,5.0,29.767827619517846,30
1954,1,0,2,0,2.0,1.0,19.857411548516236,20
1954,3,0,2,0,2.0,3.0,24.67451451595114,25
1964,1,0,1,1,1.0,1.0,9.946995477514628,10
1954,6,0,2,0,2.0,6.0,20.986558223682295,21
1954,5,1,2,0,2.0,6.0,31.36321664313365,32
1965,5,0,2,1,2.0,5.0,70.09670236087946,71
1965,0,0,2,1,2.0,0.0,23.655851895237802,24
1965,0,0,1,1,1.0,0.0,19.746927494063517,20
1955,0,0,2,0,2.0,0.0,18.041054415994992,18
1955,6,1,4,0,4.0,7.0,44.74062089749867,46
1955,2,0,2,0,2.0,2.0,24.95072465208294,25
1955,0,0,2,0,2.0,0.0,24.7297565431775,25
1955,6,0,2,0,2.0,6.0,35.21689901708158,36
1955,1,0,2,0,2.0,1.0,19.912653575742596,20
1952,0,0,1,0,1.0,0.0,20.434137951418702,21
1952,3,0,4,0,4.0,3.0,16.05897120179467,16
1952,3,0,2,0,2.0,3.0,7.9649122633143055,8
1952,3,0,2,0,2.0,3.0,10.910416071001608,11
1952,2,2,2,0,2.0,4.0,28.00671251422296,28
1952,4,0,2,0,2.0,4.0,10.002237504740986,10
