doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
NAMA agreement,1307,-1644.3065917309498,-1641.8178732590518,2.4887184718979825,2.012651425474103,presence,4
Testimonial medical letter (Medical & Health Documents),1307,-2546.908683100502,-2544.4651351609077,2.443547939594282,2.5873472092071803,presence,4
Testimonial labour (Qualification & Employment Proof),1307,-3171.7056762931416,-3171.392934348755,0.31274194438674385,0.21131203986047714,presence,4
Testimonial medical form (Medical & Health Documents),1307,-876.0836336860655,-875.996006782992,0.08762690307344201,0.11682587643931941,presence,4
Report of selection and medical officers,1307,-1342.9594511896835,-1343.016575072762,-0.057123883078475046,0.10903379033907205,count,4
Registration card,1307,-1412.3881541274975,-1412.539583993539,-0.1514298660415534,0.33686935118103173,count,4
Approval notice,1307,-1014.9513023284426,-1015.1034149666266,-0.15211263818400766,0.1358608416348524,count,4
DM.1,1307,-2160.1454485924396,-2161.817639814016,-1.6721912215762131,3.7283640777740525,count,4
D.2,1307,-1815.5857370913302,-1818.377057272534,-2.7913201812039006,5.296373618060849,count,4
D.1,1307,-1974.6409729831312,-1977.5038534080381,-2.8628804249069617,1.584988058580572,count,4
Judicial and political background check,1307,-1733.6145619501785,-1739.1649713382185,-5.550409388039952,4.103191991064723,count,4
