doc_type,n_imputations_pooled,elpd_diff_mean,elpd_diff_sd_across_imputations,frac_presence_wins
Testimonial medical letter (Medical & Health Documents),20,2.48430407815556,0.36850535332998385,1.0
NAMA agreement,20,0.8115869600234304,1.262980756310167,0.75
Approval notice,20,0.011730975496004699,0.2609392330792898,0.55
Report of selection and medical officers,20,0.027711622537708546,0.16715584997930547,0.5
Testimonial medical form (Medical & Health Documents),20,0.04365359854795088,0.16164810660228504,0.5
Testimonial labour (Qualification & Employment Proof),20,-0.06447183855984803,0.2387303487850253,0.4
DM.1,20,-0.27958878618358085,1.3408909291729043,0.35
Registration card,20,-0.163184050389475,0.24356671145135128,0.2
D.2,20,-2.6740107200358465,1.748625879654268,0.1
D.1,20,-2.5649214939708713,0.5529785175373967,0.0
Judicial and political background check,20,-4.747074373363466,0.82990339468232,0.0
