doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner
Testimonial medical letter (Medical & Health Documents),1307,-2315.5576147941497,-2312.2145699952644,3.3430447988853302,3.090566522273898,presence
D.2,1307,-1335.1445807445057,-1332.5782630272492,2.5663177172564247,6.9569875341789,presence
NAMA agreement,1307,-1485.175365678334,-1484.5555730765486,0.6197926017853206,1.6999986007920176,presence
Testimonial medical form (Medical & Health Documents),1307,-850.1509998281313,-850.0224820232509,0.12851780488040276,0.14449625861840193,presence
Report of selection and medical officers,1307,-1163.4143471999907,-1163.460028670931,-0.04568147094028063,0.05113513956066566,count
Registration card,1307,-1286.9849551221944,-1287.2848004642478,-0.2998453420534588,0.4076396518291632,count
Testimonial labour (Qualification & Employment Proof),1307,-3031.503714038111,-3031.8733169067154,-0.3696028686044883,0.2214718373378708,count
Approval notice,1307,-264.6162995541479,-265.11122444521624,-0.494924891068365,0.796847294771154,count
DM.1,1307,-1980.7435587121513,-1982.4598483308464,-1.7162896186951002,3.9431716472100122,count
D.1,1307,-1731.3823105881324,-1733.7866462487516,-2.4043356606191537,1.8816148288433145,count
Judicial and political background check,1307,-1553.6308012939253,-1559.5884421830165,-5.957640889091181,3.836107351392016,count
