doc_type,preadult_pct_pre1956,preadult_pct_post1956,diff_mean,diff_hdi_3,diff_hdi_97,p_post_lt_pre
D.1,29.655322216991777,0.7539542373952152,-28.90136797959656,-48.56758346577252,-9.357890143378606,0.9973375
Testimonial medical letter (Medical & Health Documents),40.70263076999541,25.131095021610065,-15.571535748385335,-42.50076558951176,9.48616730415607,0.8739375
Testimonial medical form (Medical & Health Documents),21.26580870089479,0.1576399968169269,-21.108168704077865,-60.96944582103395,18.250907364602654,0.844525
NAMA agreement,44.27175600716399,35.60141678293937,-8.670339224224607,-35.36181434339367,18.043214985062804,0.7296125
Approval notice,16.465930661509425,5.339003326068317,-11.126927335441106,-46.939969216946004,24.537495732672447,0.722575
Report of selection and medical officers,8.420868957404723,-0.09783564121171547,-8.51870459861644,-35.49991743648354,18.21387293895774,0.7217125
Testimonial labour (Qualification & Employment Proof),9.946735378956472,3.86010451843166,-6.086630860524812,-28.48017425717738,15.572763595832804,0.6978
DM.1,45.981951521967005,42.88631325181093,-3.0956382701560696,-25.66186334319897,18.951142736276342,0.5996625
Registration card,8.735150342924902,6.342956213569276,-2.3921941293556257,-29.34184993535504,24.211453682555792,0.5644
Judicial and political background check,35.93500051207886,39.289125081910754,3.354124569831898,-22.26654838555291,28.841181353666325,0.3999125
D.2,60.41243077436966,69.81383444266021,9.401403668290545,-19.536405128020487,37.58106230469829,0.2649875
