doc_type,n_imputations_pooled,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97
D.2,20,-1.9437374494331452,-3.938242889854161,0.04580338260040497,63.01404897653705,49.71910362930546,76.9206896677061,48.62674002571443,41.807908221867855,55.573158075653545
DM.1,20,4.170034404093893,2.3531284728319144,5.987023236336014,45.50191248578292,34.14429703549337,57.54572299528176,26.909616379530046,21.064419005887654,32.79071177863268
Judicial and political background check,20,0.8919782459463477,-1.1980230255719733,2.9927737643240304,40.51438393631831,27.0330203714958,54.52297804005072,24.02145854912484,16.882768363015845,31.301205121603413
NAMA agreement,20,-0.8707415382770632,-3.0555485593552625,1.2807582468417038,39.39310343244955,26.33502892470961,53.18982634175743,40.37227660062403,33.186521905711814,47.739262504239285
Testimonial medical letter (Medical & Health Documents),20,5.996213306228693,3.8271417687176355,8.22363701092494,33.09632648151017,20.15752142233779,47.08357113395074,32.91346325562875,24.6918240995615,41.67532113639658
D.1,20,-2.6677456477452868,-4.484217941171432,-0.8265550937810856,17.98881812239497,8.045168471046654,28.328306702892895,13.344942174108565,7.468530266378513,19.655753489365534
Approval notice,20,-0.9428213694970138,-4.035701384630957,2.1504150188044475,7.840406341142071,-8.552782212168339,25.275556409283578,3.310616183539355,-7.285475788345809,14.17144320531
Registration card,20,2.1395463251033267,-0.2943169125255075,4.632914463668799,5.9807933245918505,-7.1500485700145635,19.756638592958033,13.274538045526503,4.950695056566583,21.95251132301159
Testimonial medical form (Medical & Health Documents),20,-0.39643977347247844,-3.4857384633827926,2.6700242208508316,5.5639338054245,-11.85958472074487,24.278326824475712,4.364873260515066,-6.4171580195130815,15.881890372716159
Testimonial labour (Qualification & Employment Proof),20,-1.4940252036128514,-3.418548301997445,0.44867772352514357,4.638042473355771,-5.765940233149629,15.802177906603955,26.256294629203097,18.710848872504588,34.25908139904686
Report of selection and medical officers,20,-0.40943940982056537,-2.950095397910566,2.0551850926722772,3.1121682532853083,-10.162001291355526,17.26211565059176,3.2512977871563153,-5.35716040433867,11.887018941714066
