doc_type,n_imputations_pooled,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97
D.2,20,-0.9961986412300201,-3.8224433443978953,1.855213800692278,60.412430774369675,41.98502524188409,81.61023003275731,41.44371409345193,31.03338121655362,51.96041365304461
DM.1,20,4.823489866999912,1.941094754412843,7.7227841970371855,45.981951521967005,30.372542345059664,63.246758873572055,26.986515551885333,17.843269934963363,36.39489194685802
NAMA agreement,20,-0.6637652804587072,-3.8389719275131005,2.4837109652804163,44.27175600716399,25.91306962042778,64.14356967441765,35.29044084110777,24.384816775606666,46.738311221200114
Testimonial medical letter (Medical & Health Documents),20,6.10876043080875,2.5786669957203796,9.860636247832076,40.7026307699954,20.54803687115192,63.89815715582169,35.901684713416635,21.684811616304618,52.08944374772985
Judicial and political background check,20,2.78171757773807,-0.3619873785597486,6.098596511326922,35.93500051207886,18.688360092960828,54.95115666454326,37.1061716962446,25.552948506094495,49.39166434268705
D.1,20,-3.0105078239986236,-5.632095620885917,-0.42163986912418555,29.655322216991777,15.642232672717649,44.714004511730046,23.318209846292003,14.617207411490995,32.30985889990658
Testimonial medical form (Medical & Health Documents),20,-1.4412476345604683,-7.670654858910058,4.364857758012022,21.26580870089479,-12.467450829484914,56.48807443105239,8.915683773634953,-13.988613795259958,32.06916914614547
Approval notice,20,-0.862402878024969,-6.286421893403768,4.244038667837122,16.465930661509425,-12.266023755198416,46.619081371688395,6.555911307413077,-14.063386396383967,27.29849149629045
Testimonial labour (Qualification & Employment Proof),20,-0.5207352385095674,-3.5310031263495416,2.527782073725124,9.946735378956472,-6.3869721554194285,27.958637805688102,23.967021286542558,12.223072187658847,36.72423656260197
Registration card,20,2.7151265189548948,-1.0812992568062774,6.812923455976299,8.735150342924902,-12.415222899822755,31.053981905359006,8.750896394075871,-5.610127612117509,23.972206745125547
Report of selection and medical officers,20,-0.5990238418247021,-4.283298051223036,3.0237361896423254,8.420868957404723,-12.137899463529047,30.104813640688352,2.1553865931681706,-11.924645204868533,17.215618884762566
