doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-3.0125070166908916,-5.879666002876091,-0.1563994130782628,0.024,148.219428251525,118.44681680470894,179.57072255622128,1.0,95.18796466788001,81.58743758755607,110.17558259628348,1.0
Approval notice,-0.9183850925609642,-7.395841449616157,5.424762461618482,0.39675,58.9249660315856,3.228499428077856,136.7052739773796,0.97775,12.401381498062307,-17.227202813563395,45.630545588193336,0.76275
DM.1,4.096408300750911,2.1949960527505583,5.966073121647849,1.0,50.64233117615532,38.981002649815935,63.29340020324291,1.0,27.830176578954866,21.812301495456722,33.946247670382526,1.0
Judicial and political background check,-0.17963712117919522,-2.364738264203334,2.011569250711074,0.43675,45.44806771067024,30.749593820234914,60.93220707611125,1.0,26.008485537675018,18.56554838044128,33.87147764571937,1.0
Testimonial medical letter (Medical & Health Documents),6.3752748030471675,4.078048276545421,8.68429994841784,1.0,43.133243400061296,28.929760838763563,58.75305842876739,1.0,36.5622862865147,27.774561600086702,46.051288867494144,1.0
NAMA agreement,-1.0093342423205505,-3.1174311967639876,1.1521162132133127,0.19075,39.67630088075197,27.013121462630895,53.121074101214745,1.0,42.437471505312296,35.31566022267871,49.65267996549429,1.0
D.1,-1.0444806593489175,-2.942504528073548,0.8429314587085041,0.14975,29.35457337120569,17.998109500560275,41.638042578818954,1.0,22.696505301649086,16.02836110069605,29.440758045884436,1.0
Registration card,2.143515620975665,-0.28745275877689036,4.690226307672897,0.951,8.478676020389353,-4.97745984416544,22.43810384097454,0.879,13.507620821520918,5.183400161428689,22.655951518422967,0.99875
Testimonial medical form (Medical & Health Documents),-0.38036163757380925,-3.445021635024921,2.7841113712490353,0.4065,4.059508871279323,-13.414797048837947,23.466446013434698,0.648,4.958966646607409,-6.207526051663322,16.722631445170435,0.793
Testimonial labour (Qualification & Employment Proof),-1.4712829040190696,-3.55357749929182,0.6657089107222893,0.10375,3.6024336841204123,-7.823282118644164,16.24594254652412,0.701,32.558240507450485,23.520183507315316,42.26922162489533,1.0
Report of selection and medical officers,-0.3035527882853558,-2.664337040547755,2.0354377884576214,0.40075,1.7359202754180596,-11.400164698905439,15.746875194100474,0.5845,2.423792025191008,-6.053517408642444,11.222819580341984,0.688
