doc_type,preadult_pct_pre1956,preadult_pct_post1956,diff_mean,diff_hdi_3,diff_hdi_97,p_post_lt_pre
D.1,36.94734584321754,16.333617479689664,-20.613728363527876,-43.71179503873466,2.271974196237592,0.95525
Testimonial medical letter (Medical & Health Documents),52.51976156324568,33.779820602028906,-18.739940961216774,-49.388880777600995,10.068200374182927,0.88575
Testimonial medical form (Medical & Health Documents),25.977932088552734,-1.187113782837871,-27.165045871390603,-74.3510231520922,15.672188950757493,0.88175
Approval notice,82.64669646640581,20.135104157289547,-62.51159230911628,-190.2365783085935,38.186410102024915,0.87625
Report of selection and medical officers,8.691102129897784,-1.309636604602345,-10.00073873450013,-38.95736506232457,17.44587963260451,0.74775
NAMA agreement,43.81475545998961,35.91622333249475,-7.898532127494859,-33.76941261750971,19.37420827939801,0.71725
Testimonial labour (Qualification & Employment Proof),7.744201914379666,3.0793887053152185,-4.664813209064449,-29.137707804771885,20.528547366589848,0.64075
DM.1,52.3668653851606,48.82443539836457,-3.542429986796032,-27.567240819901265,20.192087408273512,0.60425
Judicial and political background check,41.66226109738837,41.547250297724624,-0.11501079966373905,-29.70948272308949,28.050574890641002,0.50025
Registration card,9.704801801728395,10.312923675142622,0.6081218734142274,-28.302622311521336,28.645359647565723,0.48225
D.2,108.86627717627282,185.63271462417393,76.76643744790111,16.655324965017083,140.70153042422558,0.006
