doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-4.654376500272881,-8.997100935623966,-0.7080597116990109,0.01225,185.63271462417393,134.7305751120461,243.56801228124868,1.0,122.04370471569203,98.91209928094614,149.19387262189025,1.0
DM.1,2.740174110086424,0.39650992067346813,5.1457836600748434,0.98625,48.824435398364564,32.88245845554718,65.62816361997662,1.0,28.355862155791023,20.470019346406136,36.63230617693847,1.0
Judicial and political background check,-1.4175966173931986,-4.167009036594637,1.3651104182400131,0.168,41.547250297724624,22.774555646986176,62.53160997154015,1.0,16.05051727634991,6.816676035477279,25.789480471886826,0.99975
NAMA agreement,-1.2634576173292722,-4.0810581640956345,1.5194075059147754,0.19225,35.916223332494745,18.25201578610363,55.434548411255506,1.0,45.38776162377535,35.57572520197836,55.073007773329316,1.0
Testimonial medical letter (Medical & Health Documents),5.312714433460952,2.7923284176593417,7.962678309349619,1.0,33.779820602028906,18.793480932949887,50.67566583011025,1.0,32.2085472455106,23.531844284142068,41.263613054138915,1.0
Approval notice,-2.4963554238285846,-10.023986762667992,3.813797536229782,0.241,20.135104157289547,-31.38138994787442,87.74557811479649,0.71675,4.888725778069245,-26.625210682405847,40.621920188549886,0.59575
D.1,-0.8397848231252013,-3.3493718652148425,1.7857324195764,0.267,16.333617479689664,1.2346548711635703,32.987180461436886,0.9795,14.261995277661471,5.418580053726678,23.17753927677212,0.99825
Registration card,0.9230347746252542,-1.9945735016141404,3.901309274359261,0.7185,10.312923675142622,-5.997877632448222,28.46846230055216,0.8715,15.995188443440808,6.044960193757507,26.180951964795813,0.999
Testimonial labour (Qualification & Employment Proof),-2.4207667824314556,-5.355902003257099,0.4115245768834061,0.0515,3.079388705315218,-12.25585772694798,20.09484480414611,0.62375,34.51124718940763,23.31904249010161,46.88316945579804,1.0
Testimonial medical form (Medical & Health Documents),0.429079063957545,-2.868525124902808,3.8709913285025044,0.583,-1.187113782837871,-19.898032109493723,19.62817471661662,0.44475,5.49184668041932,-6.180937658566379,17.28653027275981,0.80775
Report of selection and medical officers,-0.40939508703434846,-3.4738737465999727,2.5390348713980004,0.3985,-1.3096366046023449,-17.96017102269093,16.26388423796333,0.4385,3.2798965301135223,-6.777906687841978,14.024767834132465,0.71075
