doc_type,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,p_minor_effect_gt_0,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,p_preadult_effect_gt_0,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97,p_adult_effect_gt_0
D.2,-0.40142231519694554,-4.1779219309232865,3.1892024658022144,0.422,108.86627717627282,79.64888439387914,141.4685223900546,1.0,72.18159325247683,58.0427911052035,87.64565772990316,1.0
Approval notice,2.434413253184577,-4.568167363236987,10.104974187046546,0.741,82.64669646640581,13.747531680649434,196.72277958475755,0.993,19.964720293239274,-16.77094592504198,58.89725848205807,0.84725
Testimonial medical letter (Medical & Health Documents),7.067132244415369,3.2529182517855286,11.095260251975532,0.99975,52.51976156324568,29.675993767498813,79.0550064082755,1.0,42.33824293244334,26.52629592057794,60.16821453047889,1.0
DM.1,5.534021213229952,2.5881168593271533,8.449315674784332,1.0,52.366865385160594,36.023319689924364,70.3908975948164,1.0,27.97796561809321,19.090467322532344,37.49208922745935,1.0
NAMA agreement,-0.32210437824557925,-3.575052783735866,2.8485066605867244,0.423,43.81475545998961,25.374757110059893,63.3066684100504,1.0,37.75066483175331,26.727061192717166,49.14065698502718,1.0
Judicial and political background check,2.5061080005166487,-0.7233092680302817,5.76785615805308,0.92125,41.662261097388374,21.81419361370063,63.20679311150176,1.0,42.00255409703399,28.859557407793744,54.9304344047314,1.0
D.1,-0.23993521400768555,-3.061490862235425,2.5391289525279284,0.4385,36.94734584321754,20.863961672485168,54.06727411602883,1.0,32.35274231913434,22.47393596312045,42.48474538463481,1.0
Testimonial medical form (Medical & Health Documents),-1.0525297737237824,-7.24114585079853,4.393616648352206,0.38225,25.977932088552734,-10.608605178055337,69.33731990976281,0.89975,6.358762535026164,-16.27627181150653,30.4055694421686,0.69375
Registration card,3.7919829366644153,-0.0509626227842146,7.872020753733638,0.9685,9.704801801728394,-11.830633267734452,33.08214304549702,0.79275,9.484614199171457,-5.434590896975323,25.03887565594029,0.8805
Report of selection and medical officers,0.1565666311744856,-3.5426929001775824,3.7852995685767823,0.5375,8.691102129897784,-12.265005970910517,32.260323299746396,0.75775,1.851599094368421,-12.007315667817489,16.358317121284554,0.59225
Testimonial labour (Qualification & Employment Proof),0.15963030004100665,-2.9708987288080904,3.302917649398378,0.53375,7.7442019143796665,-10.250303276325019,27.24541639273624,0.7815,30.200758802833917,16.785627176144757,45.52579996956245,1.0
