model	accuracy	macro_f1	weighted_f1
early-fusion-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8436	0.7302	0.8257
late-fusion-efficientnet_b0+bert-base-uncased	0.8664	0.7298	0.841
late-fusion-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.8599	0.715	0.8356
bert-ft-bert-base-uncased	0.8599	0.7141	0.836
early-fusion-efficientnet_b0+bert-base-uncased	0.8078	0.7042	0.7882
early-fusion-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8502	0.6825	0.8283
late-fusion-vgg16+bert-base-uncased	0.8599	0.6779	0.8334
late-fusion-facebook__dinov2-small+bert-base-uncased	0.8567	0.6726	0.8283
early-fusion-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8176	0.6654	0.7975
bert-ft-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8469	0.6618	0.8217
early-fusion-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.7883	0.6612	0.7702
early-fusion-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8111	0.6548	0.7931
late-fusion-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8404	0.6542	0.8141
xgboost-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8208	0.6523	0.7896
xgboost-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8208	0.6497	0.7884
xgboost-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8143	0.6467	0.7794
early-fusion-vgg16+bert-base-uncased	0.8176	0.6418	0.804
late-fusion-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8371	0.6369	0.8099
xgboost-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.8208	0.6356	0.7829
xgboost-efficientnet_b0+bert-base-uncased	0.8208	0.6347	0.7831
late-fusion-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8176	0.6335	0.7865
xgboost-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8111	0.6275	0.7701
xgboost-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8078	0.6271	0.7706
early-fusion-facebook__dinov2-small+bert-base-uncased	0.7134	0.6222	0.708
xgboost-facebook__dinov2-small+bert-base-uncased	0.8208	0.6157	0.7852
xgboost-vgg16+bert-base-uncased	0.8208	0.6129	0.7837
xgboost-bert-base-uncased	0.8143	0.6121	0.7819
knn-bert-base-uncased	0.785	0.6031	0.7462
knn-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.8143	0.5991	0.7718
late-fusion-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7915	0.5982	0.7586
knn-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7785	0.5956	0.7347
knn-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7883	0.5932	0.743
knn-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7752	0.5863	0.731
facebook__dinov2-small-ft	0.7068	0.5531	0.6812
vgg16-ft	0.6547	0.5525	0.6387
lstm-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7524	0.545	0.7199
efficientnet-ft	0.658	0.5319	0.6431
knn-vgg16+bert-base-uncased	0.7101	0.5291	0.657
knn-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.7296	0.5267	0.6813
knn-efficientnet_b0+bert-base-uncased	0.6775	0.5238	0.6262
lstm-facebook__dinov2-small	0.6971	0.5139	0.6713
lstm-efficientnet_b0	0.6417	0.4913	0.6215
xgboost-microsoft__dit-large-finetuned-rvlcdip	0.6547	0.4898	0.6008
xgboost-facebook__dinov2-small	0.6352	0.4825	0.5922
knn-vgg16	0.6124	0.4817	0.5629
lstm-bert-base-uncased	0.7003	0.4816	0.6784
knn-facebook__dinov2-small+bert-base-uncased	0.6645	0.4775	0.6143
xgboost-efficientnet_b0	0.6352	0.4724	0.5845
knn-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.6287	0.4679	0.581
knn-efficientnet_b0	0.6156	0.4658	0.5546
xgboost-vgg16	0.6156	0.453	0.5619
lstm-microsoft__dit-large-finetuned-rvlcdip	0.5342	0.4124	0.5131
knn-facebook__dinov2-small	0.57	0.4116	0.5145
lstm-vgg16	0.57	0.3924	0.5144
knn-microsoft__dit-large-finetuned-rvlcdip	0.4984	0.341	0.4489
microsoft__dit-large-finetuned-rvlcdip-ft	0.316	0.2305	0.2734
