class	precision	recall	f1-score	support
Approval notice	1.0	1.0	1.0	6.0
D.1	1.0	1.0	1.0	21.0
D.2	1.0	1.0	1.0	16.0
DM.1	1.0	0.9473684210526315	0.972972972972973	19.0
Judicial and political background check	1.0	1.0	1.0	11.0
Letter about procedure	1.0	0.5714285714285714	0.7272727272727273	14.0
NAA cover	1.0	1.0	1.0	10.0
NAMA agreement	1.0	1.0	1.0	11.0
Other (Letter, Application Documents)	0.0	0.0	0.0	0.0
Other (Letter, Other)	0.0	0.0	0.0	1.0
Other (Other, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Administrative & Internal Processing Documents)	1.0	1.0	1.0	1.0
Other (Structured Form, Application Documents)	0.0	0.0	0.0	0.0
Other (Structured Form, Medical & Health Documents)	0.75	1.0	0.8571428571428571	3.0
Other (Structured Form, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Qualification & Employment Proof)	1.0	1.0	1.0	2.0
Photo	1.0	1.0	1.0	24.0
Registration card	1.0	0.7142857142857143	0.8333333333333334	7.0
Report of selection and medical officers	1.0	0.7142857142857143	0.8333333333333334	7.0
Testimonial labour (Qualification & Employment Proof)	0.9215686274509803	0.9215686274509803	0.9215686274509803	51.0
Testimonial medical form (Medical & Health Documents)	0.8	0.8	0.8	5.0
Testimonial medical letter (Medical & Health Documents)	0.84	0.9545454545454546	0.8936170212765957	22.0
Testimonial status (Application Documents)	0.75	0.8571428571428571	0.8	7.0
micro avg	0.9439655172413793	0.9201680672268907	0.9319148936170213	238.0
macro avg	0.7418073316283035	0.7165489287039967	0.7234452553383826	238.0
weighted avg	0.9494957983193277	0.9201680672268907	0.9292687998927943	238.0
