model	accuracy	macro_f1	weighted_f1	precision	recall	f1	roc_auc
knn-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9615	0.9534	0.9614	0.9668	0.979	0.9729	0.9801
lstm-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9586	0.95	0.9585	0.9667	0.9748	0.9707	0.9868
lstm-facebook__dinov2-small	0.9586	0.95	0.9585	0.9667	0.9748	0.9707	0.9835
knn-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9586	0.9494	0.9582	0.959	0.9832	0.971	0.9786
lstm-vgg16	0.9527	0.945	0.9534	0.9912	0.9412	0.9655	0.9718
lstm-efficientnet_b0	0.9497	0.9395	0.9496	0.9623	0.9664	0.9644	0.9827
late-fusion-facebook__dinov2-small+bert-base-uncased	0.9497	0.9384	0.9492	0.951	0.979	0.9648	0.9801
late-fusion-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9497	0.9384	0.9492	0.951	0.979	0.9648	0.975
knn-facebook__dinov2-small	0.9467	0.9361	0.9467	0.9622	0.9622	0.9622	0.9654
knn-efficientnet_b0	0.9467	0.9349	0.9463	0.9508	0.9748	0.9627	0.9713
knn-facebook__dinov2-small+bert-base-uncased	0.9467	0.9349	0.9463	0.9508	0.9748	0.9627	0.9655
knn-efficientnet_b0+bert-base-uncased	0.9467	0.9345	0.9461	0.9472	0.979	0.9628	0.9673
facebook__dinov2-small-ft	0.9438	0.9315	0.9434	0.9506	0.9706	0.9605	0.9769
early-fusion-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9408	0.9277	0.9403	0.9467	0.9706	0.9585	0.9789
early-fusion-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9379	0.9243	0.9374	0.9465	0.9664	0.9563	0.9695
early-fusion-facebook__dinov2-small+bert-base-uncased	0.9349	0.921	0.9345	0.9463	0.9622	0.9542	0.9471
late-fusion-vgg16+bert-base-uncased	0.9349	0.9189	0.9336	0.932	0.979	0.9549	0.9545
late-fusion-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.932	0.9155	0.9307	0.9317	0.9748	0.9528	0.9505
xgboost-facebook__dinov2-small	0.929	0.9143	0.9288	0.9458	0.9538	0.9498	0.9579
efficientnet-ft	0.926	0.913	0.9267	0.961	0.9328	0.9467	0.9709
late-fusion-efficientnet_b0+bert-base-uncased	0.929	0.9116	0.9276	0.928	0.9748	0.9508	0.9738
late-fusion-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.929	0.9116	0.9276	0.928	0.9748	0.9508	0.9197
bert-ft-bert-base-uncased	0.929	0.9116	0.9276	0.928	0.9748	0.9508	0.9682
vgg16-ft	0.926	0.9099	0.9255	0.9383	0.958	0.948	0.9356
early-fusion-efficientnet_b0+bert-base-uncased	0.926	0.9099	0.9255	0.9383	0.958	0.948	0.9315
late-fusion-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.926	0.9082	0.9247	0.9277	0.9706	0.9487	0.9709
knn-bert-base-uncased	0.926	0.9076	0.9244	0.9243	0.9748	0.9489	0.9353
early-fusion-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9231	0.9066	0.9226	0.938	0.9538	0.9458	0.9667
knn-vgg16+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9231	0.9029	0.921	0.9173	0.979	0.9472	0.9483
early-fusion-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9172	0.9028	0.918	0.9565	0.9244	0.9402	0.9695
xgboost-facebook__dinov2-small+bert-base-uncased	0.9201	0.9009	0.9187	0.9237	0.9664	0.9446	0.9725
xgboost-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9201	0.9002	0.9184	0.9203	0.9706	0.9448	0.9752
knn-vgg16+bert-base-uncased	0.9201	0.9002	0.9184	0.9203	0.9706	0.9448	0.9535
knn-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9172	0.8994	0.9167	0.9339	0.9496	0.9417	0.9434
early-fusion-vgg16+bert-base-uncased	0.9172	0.8982	0.9161	0.9268	0.958	0.9421	0.9139
xgboost-efficientnet_b0+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9172	0.8982	0.9161	0.9268	0.958	0.9421	0.9799
xgboost-efficientnet_b0+bert-base-uncased	0.9172	0.8982	0.9161	0.9268	0.958	0.9421	0.9732
xgboost-facebook__dinov2-small+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9172	0.8975	0.9158	0.9234	0.9622	0.9424	0.9742
bert-ft-sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9172	0.8975	0.9158	0.9234	0.9622	0.9424	0.9619
lstm-bert-base-uncased	0.9142	0.8942	0.913	0.9231	0.958	0.9402	0.9656
late-fusion-microsoft__dit-large-finetuned-rvlcdip+sentence-transformers__paraphrase-multilingual-mpnet-base-v2	0.9142	0.8935	0.9127	0.9197	0.9622	0.9405	0.9082
lstm-microsoft__dit-large-finetuned-rvlcdip	0.9083	0.8921	0.9092	0.9481	0.9202	0.9339	0.9573
early-fusion-microsoft__dit-large-finetuned-rvlcdip+bert-base-uncased	0.9083	0.8903	0.9084	0.9367	0.9328	0.9347	0.9563
knn-vgg16	0.9112	0.8895	0.9095	0.916	0.9622	0.9385	0.9342
